Equipment ID,Equipment Type,Subtype,Building,Floor,Room,Served Area,Controller ID,Parent Equipment,Child Equipment,Design CFM,Design Tonnage,Design GPM,Design kW,Voltage,Phase,Status,Graphic Sections,Notes,Tags,Points
AHU-1,AHU,VAV Economizer,North Tower,1,Mechanical 101,Open Office Level 1,AHU-CTRL-01,,"VAV-101,VAV-102,VAV-103",18500.0,52.0,155.0,22.0,480,3,operational,"outside_air,mixed_air,filter,cooling_coil,heating_coil,supply_fan,return_fan,discharge",Main office AHU with return fan and airside economizer,"ahu,office,economizer","AHU-1 OAT,AHU-1 OA HUM,AHU-1 MAT,AHU-1 RAT,AHU-1 RA HUM,AHU-1 SAT,AHU-1 SAT-SP,AHU-1 DUCT SP,AHU-1 SF STATUS,AHU-1 SF CMD,AHU-1 CLG VALVE,AHU-1 HTG VALVE,AHU-1 OA DAMPER,AHU-1 FREEZE STAT,AHU-1 DUCT SMOKE,AHU-1 AREA SMOKE,AHU-1 FIRE ALARM,AHU-1 FILTER DP"
AHU-2,AHU,Lab Pressurization,North Tower,2,Mechanical 201,Labs and Support Level 2,AHU-CTRL-01,,"VAV-201,VAV-202",14200.0,40.0,118.0,18.0,480,3,operational,"outside_air,mixed_air,filter,cooling_coil,heating_coil,supply_fan,discharge",Lab AHU with humidification and smoke shutdown monitoring,"ahu,lab,pressurization","AHU-2 OAT,AHU-2 OA HUM,AHU-2 MAT,AHU-2 RAT,AHU-2 RA HUM,AHU-2 SAT,AHU-2 SAT-SP,AHU-2 DUCT SP,AHU-2 SF STATUS,AHU-2 SF CMD,AHU-2 CLG VALVE,AHU-2 HTG VALVE,AHU-2 OA DAMPER,AHU-2 FREEZE STAT,AHU-2 DUCT SMOKE,AHU-2 AREA SMOKE,AHU-2 FIRE ALARM,AHU-2 FILTER DP"
VAV-101,VAV,Series Fan Powered Reheat,North Tower,1,Zone 101,Conference Suite,AHU-CTRL-01,AHU-1,,1400.0,,,0.45,120,1,operational,,Conference room VAV with reheat and fan,"vav,reheat,conference","VAV-101 AIRFLOW,VAV-101 FLOW-SP,VAV-101 DAMPER CMD,VAV-101 ZT,VAV-101 ZN-T SP,VAV-101 OCC CMD,VAV-101 BOX FLOW STS,VAV-101 LOW FLOW ALM,VAV-101 SPACE HUM,VAV-101 CO2,VAV-101 REHEAT VALVE,VAV-101 HW-VLV FB"
VAV-102,VAV,Pressure Independent Reheat,North Tower,1,Zone 102,Open Office West,AHU-CTRL-01,AHU-1,,1100.0,,,0.25,120,1,operational,,Open office VAV,"vav,reheat,office","VAV-102 AIRFLOW,VAV-102 FLOW-SP,VAV-102 DAMPER CMD,VAV-102 ZT,VAV-102 ZN-T SP,VAV-102 OCC CMD,VAV-102 BOX FLOW STS,VAV-102 LOW FLOW ALM,VAV-102 SPACE HUM,VAV-102 CO2,VAV-102 REHEAT VALVE,VAV-102 HW-VLV FB"
VAV-103,VAV,Pressure Independent Reheat,North Tower,1,Zone 103,Open Office East,AHU-CTRL-01,AHU-1,,1050.0,,,0.25,120,1,operational,,Open office VAV,"vav,reheat,office","VAV-103 AIRFLOW,VAV-103 FLOW-SP,VAV-103 DAMPER CMD,VAV-103 ZT,VAV-103 ZN-T SP,VAV-103 OCC CMD,VAV-103 BOX FLOW STS,VAV-103 LOW FLOW ALM,VAV-103 SPACE HUM,VAV-103 CO2,VAV-103 REHEAT VALVE,VAV-103 HW-VLV FB"
VAV-201,VAV,Cooling Only,North Tower,2,Zone 201,Biology Lab,ZONE-CTRL-02,AHU-2,,1650.0,,,0.3,120,1,operational,,Lab VAV with airflow verification,"vav,lab,cooling","VAV-201 AIRFLOW,VAV-201 FLOW-SP,VAV-201 DAMPER CMD,VAV-201 ZT,VAV-201 ZN-T SP,VAV-201 OCC CMD,VAV-201 BOX FLOW STS,VAV-201 LOW FLOW ALM,VAV-201 SPACE HUM,VAV-201 CO2"
VAV-202,VAV,Pressure Independent Reheat,North Tower,2,Zone 202,Office Support,ZONE-CTRL-02,AHU-2,,950.0,,,0.2,120,1,operational,,Support office VAV,"vav,reheat,office","VAV-202 AIRFLOW,VAV-202 FLOW-SP,VAV-202 DAMPER CMD,VAV-202 ZT,VAV-202 ZN-T SP,VAV-202 OCC CMD,VAV-202 BOX FLOW STS,VAV-202 LOW FLOW ALM,VAV-202 SPACE HUM,VAV-202 CO2,VAV-202 REHEAT VALVE,VAV-202 HW-VLV FB"
CHLR-1,CHILLER,Water Cooled Screw,Central Plant,B1,Chiller Room,Campus Cooling Loop,PLANT-CTRL-01,,"CHWP-1,CHWP-2,CT-1,HX-1",,240.0,560.0,210.0,480,3,operational,,Primary chilled water plant chiller,"chiller,plant,water-cooled","CHLR-1 CHWS,CHLR-1 CHWR,CHLR-1 CHW-DP,CHLR-1 CWS,CHLR-1 CWR,CHLR-1 LOAD KW,CHLR-1 CHLR ENABLE,CHLR-1 CHWS-SP,CHLR-1 FLOW STS,CHLR-1 FAULT ALM,CHLR-1 STARTS,CHLR-1 RUN HRS"
CHWP-1,PUMP_CHW,Primary VFD,Central Plant,B1,Pump Gallery,CHW Loop,PLANT-CTRL-01,CHLR-1,,,,280.0,20.0,480,3,operational,,Lead CHW pump,"pump,chw,vfd","CHWP-1 CHW-DP,CHWP-1 FLOW,CHWP-1 SPD CMD,CHWP-1 STATUS,CHWP-1 LEAD CMD,CHWP-1 FAULT ALM,CHWP-1 KW,CHWP-1 RUN HRS"
CHWP-2,PUMP_CHW,Primary VFD,Central Plant,B1,Pump Gallery,CHW Loop,PLANT-CTRL-01,CHLR-1,,,,280.0,20.0,480,3,operational,,Lag CHW pump,"pump,chw,vfd","CHWP-2 CHW-DP,CHWP-2 FLOW,CHWP-2 SPD CMD,CHWP-2 STATUS,CHWP-2 LEAD CMD,CHWP-2 FAULT ALM,CHWP-2 KW,CHWP-2 RUN HRS"
CT-1,CT,Induced Draft,Central Plant,Roof,Cooling Tower Yard,Condenser Water Loop,PLANT-CTRL-01,CHLR-1,,,,620.0,18.0,480,3,operational,,Open-circuit cooling tower,"cooling-tower,plant","CT-1 CWS,CT-1 CWR,CT-1 BASIN TEMP,CT-1 FAN CMD,CT-1 FAN STS,CT-1 MAKEUP VLV,CT-1 LEVEL,CT-1 VIB ALM,CT-1 FREEZE ALM,CT-1 RUN HRS"
HX-1,HX,Plate and Frame,Central Plant,B1,Pump Gallery,Condenser Water Heat Recovery,PLANT-CTRL-01,CHLR-1,,,,175.0,0.0,120,1,operational,,Heat recovery HX,"heat-exchanger,recovery","HX-1 PRI SUP TEMP,HX-1 PRI RET TEMP,HX-1 SEC SUP TEMP,HX-1 SEC RET TEMP,HX-1 BYPASS VLV,HX-1 DP,HX-1 FLOW,HX-1 FOUL ALM"
BLR-1,BOILER,Condensing,Boiler Plant,B1,Boiler Room,HW Loop,HEAT-CTRL-01,,"HWP-1,HWP-2,UH-1,RP-1",,,230.0,145.0,480,3,operational,,Lead condensing boiler,"boiler,heating,plant","BLR-1 HWS,BLR-1 HWR,BLR-1 HWS-SP,BLR-1 BURNER CMD,BLR-1 ENABLE STS,BLR-1 FLAME SAFETY,BLR-1 PRES,BLR-1 FLOW STS,BLR-1 RUN HRS,BLR-1 STARTS"
HWP-1,PUMP_HW,Variable Primary,Boiler Plant,B1,Boiler Room,HW Loop,HEAT-CTRL-01,BLR-1,,,,160.0,12.0,480,3,operational,,Lead HW pump,"pump,heating,vfd","HWP-1 HW-DP,HWP-1 FLOW,HWP-1 SPD CMD,HWP-1 STATUS,HWP-1 LEAD CMD,HWP-1 FAULT ALM,HWP-1 KW,HWP-1 RUN HRS"
HWP-2,PUMP_HW,Variable Primary,Boiler Plant,B1,Boiler Room,HW Loop,HEAT-CTRL-01,BLR-1,,,,160.0,12.0,480,3,operational,,Lag HW pump,"pump,heating,vfd","HWP-2 HW-DP,HWP-2 FLOW,HWP-2 SPD CMD,HWP-2 STATUS,HWP-2 LEAD CMD,HWP-2 FAULT ALM,HWP-2 KW,HWP-2 RUN HRS"
RTU-1,RTU,Packaged DX Gas Heat,South Annex,Roof,Roof Curb 1,Training Suite,ROOF-CTRL-01,,,6200.0,18.0,,14.0,460,3,operational,"outside_air,filter,cooling_coil,heating_coil,supply_fan,discharge",Packaged rooftop with economizer,"rtu,dx,economizer","RTU-1 OAT,RTU-1 OA HUM,RTU-1 MAT,RTU-1 RAT,RTU-1 RA HUM,RTU-1 SAT,RTU-1 SAT-SP,RTU-1 DUCT SP,RTU-1 SF STATUS,RTU-1 SF CMD,RTU-1 CLG VALVE,RTU-1 HTG VALVE,RTU-1 OA DAMPER,RTU-1 FREEZE STAT,RTU-1 DUCT SMOKE,RTU-1 AREA SMOKE,RTU-1 FIRE ALARM,RTU-1 FILTER DP,RTU-1 DX1 CMD,RTU-1 DX2 CMD,RTU-1 FLT-ALM"
FCU-1,FCU,Two-Pipe,South Annex,2,Executive 204,Executive Office,ROOF-CTRL-01,,,850.0,,8.0,0.9,120,1,operational,,Perimeter FCU with valve modulation,"fcu,perimeter,office","FCU-1 ZN-T,FCU-1 ZN-T SP,FCU-1 FAN CMD,FCU-1 FAN STS,FCU-1 VALVE CMD,FCU-1 DAT,FCU-1 COND ALM,FCU-1 FILTER ALM"
ERU-1,ERU,Enthalpy Wheel,North Tower,2,Mechanical 202,Restrooms and Corridor Relief,ZONE-CTRL-02,,EF-1,3200.0,,,7.0,460,3,operational,,Energy recovery ventilator,"eru,energy-recovery,ventilation","ERU-1 OA-T,ERU-1 EA-T,ERU-1 SA-T,ERU-1 WHEEL CMD,ERU-1 WHEEL STS,ERU-1 SF CMD,ERU-1 EF CMD,ERU-1 FILTER DP,ERU-1 FAULT ALM,ERU-1 BYPASS DAMPER"
MAU-1,MAU,Kitchen Makeup Air,North Tower,1,Dock Mezzanine,Kitchen and Loading,ZONE-CTRL-02,,,4100.0,,,11.0,460,3,operational,,Makeup air unit with gas heat,"mau,ventilation,kitchen","MAU-1 OAT,MAU-1 SAT,MAU-1 SAT-SP,MAU-1 SF CMD,MAU-1 SF STATUS,MAU-1 GAS VLV,MAU-1 OA DAMPER,MAU-1 FILTER DP,MAU-1 SMK-ALM,MAU-1 FLT-ALM"
EF-1,EF,Lab Relief,North Tower,Roof,Penthouse,Lab Exhaust,ZONE-CTRL-02,ERU-1,,2900.0,,,4.0,460,3,operational,,Relief/exhaust fan with VFD proof,"exhaust-fan,lab,relief","EF-1 FAN CMD,EF-1 FAN STS,EF-1 FLOW,EF-1 SPD,EF-1 FAULT ALM,EF-1 RUN HRS"
UH-1,CUSTOM,Unit Heater,Warehouse,1,Receiving,Loading Dock,HEAT-CTRL-01,BLR-1,,1800.0,,5.0,0.6,120,1,operational,,Hydronic unit heater,"unit-heater,warehouse,hydronic","UH-1 ZN-T,UH-1 ZN-T SP,UH-1 FAN CMD,UH-1 FAN STS,UH-1 HW VLV,UH-1 LOW TEMP ALM"
RP-1,CUSTOM,Radiant Panel,South Annex,1,Lobby,Entry Vestibule,HEAT-CTRL-01,BLR-1,,,,3.0,0.2,24,1,operational,,Vestibule radiant panel,"radiant-panel,heating,lobby","RP-1 ZN-T,RP-1 ZN-T SP,RP-1 PANEL TEMP,RP-1 VALVE CMD,RP-1 CONDENSATION ALM,RP-1 FLOW"
